case_id,citation_str,court,date_decided,judge,full_text_path
4235611,879 F.3d 1299,cafc,2018-01-10,Dyk,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\4235611.json
4239176,880 F.3d 1356,cafc,2018-01-25,Moore,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\4239176.json
4243359,881 F.3d 1360,cafc,2018-02-08,Moore,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\4243359.json
4244880,882 F.3d 1121,cafc,2018-02-14,Reyna,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\4244880.json
4266029,887 F.3d 1376,cafc,2018-04-20,Lourie,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\4266029.json
4342333,908 F.3d 1343,cafc,2018-11-16,Taranto,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\4342333.json
4378736,930 F.3d 1295,cafc,2019-03-20,Lourie,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\4378736.json
4388510,921 F.3d 1084,cafc,2019-04-18,Moore,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\4388510.json
4409901,927 F.3d 1306,cafc,2019-06-25,O'Malley,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\4409901.json
625710,566 U.S. 66,scotus,2012-03-20,Breyer,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\625710.json
791122,415 F.3d 1303,cafc,2006-02-21,Michel,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\791122.json
8415477,918 F.3d 1368,cafc,2019-03-20,Lourie,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\8415477.json
902266,569 U.S. 576,scotus,2013-06-13,,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\902266.json
902772,569 U.S. 576,scotus,2013-06-13,Thomas,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\902772.json
4661158,987 F.3d 1375,cafc,2021-02-18,,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\4661158.json
6651038,52 Fed. Cl. 1831,cafc,2002-05-28,Kennedy,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\6651038.json
9225759,547 U.S. 388,scotus,2006-05-15,Thomas,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\9225759.json
2833034,800 F.3d 1340,cafc,2015-09-02,Prost,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\2833034.json
4703137,4 F.4th 1342,cafc,2021-07-13,,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\4703137.json
2676591,572 U.S. 898,scotus,2014-06-02,,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\2676591.json
4310945,903 F.3d 1286,cafc,2018-09-10,Moore,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\4310945.json
4279966,890 F.3d 1354,cafc,2018-05-31,Per Curiam,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\4279966.json
8415448,926 F.3d 1362,cafc,2019-06-20,Taranto,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\8415448.json
810,594 F.3d 860,cafc,2010-02-05,Newman,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\810.json
599,598 F.3d 1336,cafc,2010-03-22,Michel,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\599.json
4174307,858 F.3d 1371,cafc,2017-06-05,Newman,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\4174307.json
4080571,839 F.3d 1034,cafc,2016-10-07,Prost,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\4080571.json
3179531,813 F.3d 1326,ca10,2016-02-23,Phillips,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\3179531.json
145655,547 U.S. 388,scotus,2006-05-15,Thomas,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\145655.json
118092,520 U.S. 17,scotus,1997-03-03,Thomas,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\118092.json
2744538,769 F.3d 1371,cafc,2014-10-22,Lourie,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\2744538.json
2679203,572 U.S. 898,scotus,2014-06-02,Ginsburg,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\2679203.json
4298522,898 F.3d 1177,cafc,2018-07-27,Stoll,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\4298522.json
4961246,14 F.4th 1313,cafc,2021-09-24,,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\4961246.json
9225758,547 U.S. 388,scotus,2006-05-15,Thomas,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\9225758.json
118510,535 U.S. 722,scotus,2002-05-28,Kennedy,C:\Users\eshan\OneDrive\Desktop\projects\stanny\stanAIxLaw\data\raw\cases\118510.json
